id;title;slug;text;catid;created
4966;Be part of the largest European Sleep and Breathing Conference;be-part-of-the-largest-european-sleep-and-breathing-conference;"<p><img alt=""ERS SB Postcard 640x258 v2"" src=""images/stories/weekly/ERS_SB_Postcard_640x258_v2.jpg"" height=""258"" width=""640"" /></p>
<p>Registration is now open for the 2015 Sleep and Breathing Conference, the largest pan-European meeting in the field of sleep medicine.</p>
<p>The importance of sleep for health has received growing attention in recent years and has become a key area of research in medicine. There is now a realisation that sleep disorders, whether respiratory or non-respiratory, contribute substantially to the burden of ill health across society.</p>
<p>The Sleep and Breathing conference is the only meeting offering an integrated approach to the investigation and treatment of sleep disorders.</p>
<p>Joint Chair of the Sleep and Breathing Conference Professor Walter McNicholas said: “The conference will provide a state-of-the-art review of the latest developments in sleep and breathing disorders and thus provide a comprehensive update that will benefit all practitioners in the area of sleep medicine.”</p>
<p>Anita Simonds, Joint Chair of the Sleep and Breathing Conference, added: “Unmissable highlights include a Year in Review in sleep research, and sessions on dilemmas in the daily management of OSA patients, the effects of sleep on cognitive function and memory, sleep disordered breathing in cardiac patients, the consequences of sleep deprivation, chronobiology, screening for sleep apnoea, non-invasive ventilation, training in sleep medicine and many more!”</p>
<p>In Barcelona 2015, the focus remains predominantly on sleep and breathing disorders and the programme will also cover sleep-related areas of paediatrics, obesity, cardiovascular disorders, diabetes, psychology, psychiatry and neurology.</p>
<ul>
<li><a target=""_blank"" href=""http://www.sleepandbreathing.org/images/pdf/2015%20SB/SB%20Conference%202015%20-%2024Nov.pdf"">Browse the advance programme </a></li>
</ul>
<p>Register by 29 January, 2015 – <a href=""http://www.sleepandbreathing.org"">www.sleepandbreathing.org</a></p>
<p>&nbsp;</p>";50;14.01.2015 12:46
4967;Making the right decision in asthma management: a new case-based CME online module;making-the-right-decision-in-asthma-management-a-new-case-based-cme-online-module;"<p><img style=""margin-left: 10px; margin-bottom: 10px; float: right;"" alt=""coverflow-image-background"" src=""images/stories/weekly/coverflow-image-background.jpg"" height=""214"" width=""214"" />A new case-based CME online module assesses the advantages and disadvantages of fixed-dose combinations versus separate maintenance and reliever therapy in asthma.</p>
<p>There are several unmet needs in asthma management, one of the most important being the reduction in future risk of exacerbations. The choice of a single inhaler for both maintenance and relief may reduce asthma exacerbations and provide adequate control in some patients.</p>
<p>The module aims to help participants identify gaps in asthma management, understand the impact of exacerbations on patients’ lives and look at how patients will benefit from the right treatment.</p>
<ul>
<li><a target=""_blank"" href=""http://www.ers-cme-online.org/asthma-fixed-versus-smart"">Start the module </a></li>
</ul>
<p>ERS has been producing online CME modules since 2010 and there are over 40 topics for you to explore online. Each module is accredited with one CME credit and if successful you will obtain your CME certificate at the end. Visit the ERS e-learning site to browse the topics:</p>
<p><a href=""http://www.ers-cme-online.org/"">http://www.ers-cme-online.org</a></p>
<p>&nbsp;</p>";50;14.01.2015 13:01
4970;ERS aims to make membership more accessible by collaborating with national and regional societies ;ers-aims-to-make-membership-more-accessible-by-collaborating-with-national-and-regional-societies-;"<p>As part of its strategy <a href=""http://erj.ersjournals.com/content/43/4/927.full?sid=5338ff7c-92ed-46fe-a982-12f468b4f94f"">published in the <em>ERJ</em>,</a> ERS is working to strengthen partnerships with national and regional societies and increase access to its resources and events.</p>
<p>Starting in January 2015, national and regional respiratory societies across the globe will be able to offer all their members full ERS membership as part of their own membership package. This will increase the number of people able to access ERS publications, webcasts, scientific content, and discounts to conferences and events.</p>
<p>Professor Elisabeth Bel, President of ERS, said: “In order to achieve the ERS mission of reducing the burden of lung disease through sharing knowledge, we want to give more respiratory professionals the chance to access ERS resources and events. We look forward to working together with national and regional societies, and welcoming their members to ERS.”</p>
<p>ERS will be working in the coming months to foster partnerships with national and regional societies across the globe. Any changes that affect you will be communicated to you in advance by your regional and/or national society and by ERS.</p>
<ul>
<li>If you have any specific questions in the meantime&nbsp;<a href=""mailto:members@ersnet.org"">please email the Membership Department.&nbsp;</a></li>
<li><a href=""http://www.ersnet.org/membership"">Find out more about what the changes will mean for you</a>.</li>
</ul>
<p>&nbsp;</p>";50;28.01.2015 13:26
4971;ERS course provides effective tools in battle against smoking ;ers-course-provides-effective-tools-in-battle-against-smoking-;"<p>Smoking remains the leading preventable cause of death in Europe and smoking cessation is the most cost-effective health intervention. A new ERS course aims to equip healthcare professionals with the most innovative techniques to help patients quit.</p>
<p>Held in Athens, Greece, the course will deliver up-to-date knowledge and skills in both aspects of counselling and pharmacological treatments and is aimed at all healthcare professionals including respiratory physicians, cardiologists, general practitioners, psychologists, social workers, nurses and other allied health professionals.</p>
<p>The curriculum will cover hot topics from smoking cessation experts to give participants new skills in the areas of motivational interviewing, smoking cessation strategy and application, organising and implementing smoking cessation clinics and personalising treatment to match each individual’s profile and needs. Also, new challenges such as the current debates on e-cigarettes will be addressed.</p>
<ul>
<li>The course will take place 2–4 July, 2015. <a href=""/education/courses/item/4872-smoking-cessation-2015.html"">Find out more about the course and how to register</a></li>
</ul>
<p>&nbsp;</p>";50;28.01.2015 14:48
4972;Increase your understanding of interstitial lung diseases in a new ERS course ;increase-your-understanding-of-interstitial-lung-diseases-in-a-new-ers-course-;"<p>Interstitial lung diseases (ILDs) are an increasing burden on healthcare resources and there is a lack of specialist services available. A new ERS course aims to give an overview of the current state of ILD diagnostics, treatment and research.</p>
<p>Held in Heidelberg, Germany, participants will learn how to identify and diagnose different ILDs and the challenges of existing treatments. They will be able to take their own clinical cases to get input and advice from the experts.</p>
<p>The course is aimed at clinicians, training pulmonologists, and experts in thoracic pathology and thoracic imaging.</p>
<p>The course will take place 14–16 April, 2016.</p>
<ul>
<li><a target=""_blank"" href=""education/courses/item/4965-interstitial-lung-disease.html"">Find out more and register now to avoid disappointment</a></li>
</ul>
<p>&nbsp;</p>";50;04.02.2015 17:35
4973;The Gulf Thoracic conference: sharing expertise ;the-gulf-thoracic-conference-sharing-expertise-;"<p><img alt=""GT2015"" src=""images/stories/weekly/GT2015-Webslide_640x272.jpg"" height=""272"" width=""640"" /></p>
<p>ERS will bring its scientific input to the sixth annual meeting of the Saudi Thoracic Society (STS) and the Emirates Allergy and Respiratory Society (EARS).</p>
<p>The Gulf Thoracic conference will see respiratory professionals join together in Dubai to discuss the latest advances in respiratory medicine. The programme will include state of the art lectures, postgraduate courses, workshops, panel discussions, interactive sessions, and research abstract presentations.</p>
<p>The conference, which will take place from 4–7 March, 2015, will also host the official signing of the new membership agreement between ERS and the STS.</p>
<p>ERS members Dr Stefano Aliberti, Professor Anton Vonk-Noordegraaf, Professor GB Milgiori and Professor Peter Barnes, will be speaking on a variety of topics including pulmonary hypertension, pneumococcal vaccinations and the latest developments in COPD. ERS President Professor Elisabeth Bel will also chair a session providing updates on ERS activity and speak in two sessions on severe asthma.</p>
<ul>
<li><a target=""_blank"" href=""http://gulfthoracic.com/gtc-video"">Watch the video to find out more about the event</a></li>
<li><a target=""_blank"" href=""http://www.gulfthoracic.com"">Visit the website to find out more about the programme and to register</a></li>
</ul>
<p>&nbsp;</p>";50;04.02.2015 17:38
4975;Smoking linked with 14 extra health conditions;smoking-linked-with-14-extra-health-conditions;"<p>14 health conditions have been newly linked with smoking, according to an observational study published in the <em>New England Journal of Medicine</em>.</p>
<p>The findings of the study suggested that smoking could be responsible for many more deaths than previously thought. Researchers used data from 5 cohort studies in the USA including 421,378 men and 532,651 women 55 years of age or older. Participants were followed from 2000 through 2011, and relative risks and 95% confidence intervals were estimated.</p>
<p>The results showed that an additional 60,000 deaths appear to be caused by diseases not typically associated with tobacco, including kidney failure, intestinal disease, heart disease caused by hypertension, infections, breathing problems, and breast and prostate cancer.</p>
<p>Chair of the ERS Tobacco Control Committee, Professor Carlos Jimenez-Ruiz: “This study provides some observational findings, increasing the evidence of a correlation between smoking and a number of health conditions that have not previously been completely linked to the habit. If further research confirmed this link, we have even more evidence demonstrating why our commitment to tobacco control and a local, national and international level is essential.”</p>
<ul>
<li><a target=""_blank"" href=""http://www.nejm.org/doi/pdf/10.1056/NEJMsa1407211"">Read the original research</a></li>
</ul>
<p>&nbsp;</p>";50;19.02.2015 09:43
4978;Celebrating 10 years of the landmark tobacco control treaty;celebrating-10-years-of-the-landmark-tobacco-control-treaty;"<p>The 10th anniversary of the World Health Organization’s Framework Convention on Tobacco Control (FCTC) will be marked by healthcare professionals and tobacco control advocates worldwide tomorrow (27 February 2015).</p>
<p>179 countries, plus the European Union, are signed up to the treaty and WHO is calling on them all to recommit to its aims and adopt effective tobacco control policies.</p>
<p>The treaty has accelerated change in all countries, but only a few in the WHO’s European Region have taken a comprehensive approach to implementing all the actions recommended by the FCTC.</p>
<p>The European Region has the highest prevalence of tobacco smoking (28%) among all WHO regions. It has now taken on the challenge of developing a Roadmap of actions for Member States to reduce tobacco use by 30% by the year 2025.</p>
<p>ERS is committed to tobacco control and recently produced the SmokeHaz website (<a href=""http://www.smokehaz.eu"">www.smokehaz.eu</a>) – providing evidence from a scientific review of all the respiratory health hazards associated with tobacco smoke.</p>
<p>ERS is an active supporter of the Conference of the Parties (COP6) of the WHO FCTC. At the last meeting in Moscow in October 2014, representatives from the ERS Tobacco Control Committee (TCC) attended and ERS also supported delegates from low- and middle-income countries to attend the meetings, via the Framework Convention Alliance. Delegates from Bangladesh, the Philippines, India, Brazil, Syria and Thailand were supported in this way.</p>
<p>Constantine Vardavas, the ERS TCC representative reported: “It is vital that ERS is present and participates in the COP, as it is the spearhead of global tobacco control. Being part of these negotiations allows ERS to take an active role in tobacco control and spread the latest scientific evidence in the field. This year, in sponsoring delegates from low and middle income countries, we have gone a step further in our commitment to supporting tobacco control at a global level.”</p>
<p>If you’re interested in smoking cessation, <a target=""_blank"" href=""education/courses/item/4872-smoking-cessation-2015.html"">sign up for the ERS course covering innovative techniques in the field</a>.<a href=""http://ersnet.org/education/courses/item/4872-smoking-cessation-2015.html""></a></p>";50;25.02.2015 14:24
4979;First global consultation on the role of e/mHealth in TB and tobacco control ;first-global-consultation-on-the-role-of-emhealth-in-tb-and-tobacco-control-;"<p>Over 90 representatives from governments, technical agencies, financing partners, the corporate sector as well as civil society, are meeting in Geneva for a first-ever consultation on the role of electronic and mobile health (e/mHealth) interventions in TB and tobacco control. This consultation has been organised by the World Health Organization's (WHO) Global TB Programme and Department for the Prevention of Non-Communicable Diseases with the European Respiratory Society (ERS).</p>
<p>Both TB and tobacco are major global public health concerns, causing millions of deaths each year. There is a strong association between smoking and TB, with each fuelling the other's impact. Information and communication technology could provide new solutions and avenues for joint action on both of these diseases.</p>
<p>""The consultation will lead the way in defining how we can harness the power of information and communication technologies to end TB,"" said Dr Mario Raviglione, Director of the WHO Global TB Programme. ""In particular, the use of these technologies will be critical in helping us reach our new global targets to end the TB epidemic.""</p>
<p>""While some countries and partners have already initiated small pilot initiatives on e/mHealth, these haven't been taken to scale due to a lack of sufficient evidence, support and synergic action. The full potential of information and communication technology thus remains largely untapped and presents a significant opportunity in the fight against TB and tobacco use,"" said Dr Doug Bettcher, Director of the WHO Department for the Prevention of Non-Communicable Diseases.</p>
<h3>Moving forward</h3>
<p>The consultation will feed into the development of different information and communication technology concepts and products that address patient care, surveillance and monitoring, as well as programme management (particularly laboratory information systems), and eLearning.</p>
<p>""We see this meeting as uniting experts who will play different roles in shaping the future of e/mHealth for TB and tobacco control,"" said Elisabeth Bel, President of ERS. ""We remain committed to supporting this ground-breaking effort to revolutionise the use of information and communication technologies to save lives.""</p>
<p>Professor GB Migliori, Secretary General of ERS, said: “E/mHealth products represent a prime opportunity for us to revolutionise healthcare and tackle two of the world’s biggest public health problems. This technical consultation is paving the way for digital technologies to play a key role in the management of patients with TB and tobacco-related illnesses. While new products and programmes are emerging all the time, it is crucial that we assess the effectiveness of these measures and channel our resources accordingly.”</p>";50;26.02.2015 10:41
4983;Celebrating women in ERS - a message from Professor Elisabeth Bel;celebrating-women-in-ers;"<p><span><img style=""margin-left: 10px; margin-bottom: 10px; float: right;"" alt=""elisabeth-bell-wowen-day"" src=""images/stories/weekly/elisabeth-bell-wowen-day.jpg"" height=""287"" width=""239"" />With International Women’s Day taking place this week, this would seem to me the perfect opportunity to take the time to reflect upon the role of women in ERS and highlight the achievements of individuals who have provided inspiration to women in the respiratory field. </span></p>
<p><span>I feel honoured to be the first female President of ERS and I am pleased to be taking up the mantle in the knowledge that many successful women have come before me and many more will follow in these footsteps in years to come. </span></p>
<p><span>I strongly subscribe to the theme of this year’s International Women’s Day that ‘Empowering Women, Empowering Humanity: Picture it!’ In a speech last year the UN Secretary-General Ban Ki-moon highlighted the benefits to society as a whole when women are on a level footing. One example he cited is that countries in which higher levels of gender equality exist tend to have better economic g</span>rowth.<a href=""#one""><sup>1</sup></a></p>
<p><span>Historically, the scientific field has been largely dominated by men, but this has begun to change. As we see a more equal gender balance in science, I believe we will see more progress in the field of scientific discovery. By unlocking the scientific potential of many individuals who may not have considered this area of work in previous years, we bring more intellectual minds together to solve the toughest questions in research.</span></p>
<p><span>I also believe that by ensuring women are at the forefront of medicine and care, we can bring different life experiences and perspectives together to ensure a diverse workforce is challenging the clinical issues we face on a daily basis. We must continue to encourage women to take on roles in the respiratory field if we are to see the progress we are all working towards. </span></p>
<p><span>In the respiratory arena, many influential women have taken on the roles of officers in ERS and other international societies, contributed extensively to research and become leaders in their field. </span></p>
<p><span>At the ERS International Congress in Munich last year, we launched the Fellowship of ERS (FERS), a new accolade that seeks to recognise excellence in the field and to create a body of elite r</span>esearchers, clinicians and other professionals working in the respiratory arena. 11 women were honoured with the FERS title when the new award launched, and this number is set to increase in the coming years.<a href=""#two""><sup>2</sup></a></p>
<p><span>I would like to take this opportunity to thank all the women who have played a role in the success of the Society over the last few years. I also send a message of encouragement to all our female junior members who, together with their male peers, have the future of the Society in their hands. I have no doubt that the combined strengths of both the female and male future leaders of ERS will lead to progress for all. </span><span><br style=""clear: both;"" /></span></p>
<p><span><img alt=""international-women-day logo v2"" src=""images/stories/weekly/international-women-day_logo_v2.jpg"" height=""45"" width=""250"" /></span></p>
<hr align=""left"" size=""1"" width=""33%"" />
<div>
<p><span><a name=""one""><sup> 1</sup></a> <a href=""http://www.un.org/en/events/womensday/2014/sgmessage.shtml"">http://www.un.org/en/events/womensday/2014/sgmessage.shtml</a> </span></p>
<p><span><a name=""two""><sup> 2</sup></a> See table below for a full list of the female FERS recipients</span></p>
<p><span>&nbsp;</span></p>
<p><strong><span>Women who received the FERS accolade in 2014</span></strong></p>
<ul>
<li><strong><span>Professor Sandra Anderson<br /></span></strong><span>Dr Anderson’s research studies on exercise-induced bronchoconstriction have been translated into clinical care in the form of provocation tests that she developed. These tests are now widely used to identify people with asthma.</span></li>
</ul>
<ul>
<li><strong><span>Professor Elisabeth Bel<br /></span></strong><span>Professor Bel is a leading researcher in the field of severe asthma with a particular emphasis on clinical phenotypes, pathophysiological mechanisms and novel therapies. She has published widely on these topics, and co-authored the first international guidelines on severe asthma.</span></li>
</ul>
<ul>
<li><strong><span>Professor Maria Gabriela Belvisi<span><br /></span></span></strong><span>Professor Belvisi is an internationally recognised expert in the respiratory field with both academic and industry experience. Her research is focused on the cellular and molecular mechanisms of asthma, COPD and chronic cough and developing therapies for these diseases.</span></li>
</ul>
<ul>
<li><strong><span>Professor Judith Black<br /></span></strong><span>Professor Black has led the field in pharmacological molecular and cellular aspects of the airway smooth muscle and was the first to examine the relationship between <em>in vivo</em> and <em>in vitro</em> airway hyper-responsiveness. </span></li>
</ul>
<ul>
<li><strong><span>Professor Nelly Frossard<br /></span></strong>Professor Frossard has established one of the leading groups in France in pharmacology and chemical biology of airway inflammation and hyperresponsiveness. Her research is centred on identifying new therapeutic targets and mechanisms for pharmacological and therapeutic strategies for lung chronic inflammatory diseases.</li>
</ul>
<ul>
<li><strong><span>Professor Dr Dirkje Postma<br /></span></strong><span>Professor Postma’s main discoveries concern the risk factors and underlying mechanisms of asthma and COPD, which includes the genetics and cell activation pathways of these diseases. She was also a founding member of GRIAC, the Groningen research Institute of asthma and COPD.</span></li>
</ul>
<ul>
<li><strong><span>Professor Marina Saetta<br /></span></strong><span>Professor Saetta’s work has investigated the mechanisms of lung remodeling in asthma and COPD and its relation to chronic inflammation and disordered lung function. Her work led to a number of important studies describing the essential role of the immune dysregulation in the pathogenesis of asthma and COPD. </span></li>
</ul>
<ul>
<li><strong><span>Professor Annemie Schols<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br /></span></span></strong><span>An internationally leading scientist, Professor Schols was the first to introduce body composition in COPD phenotyping and to investigate physical activity by accelerometry in estimating energy requirements.</span></li>
</ul>
<ul>
<li><strong><span>Professor Rosalind Smyth<br /></span></strong><span>Professor Smyth is a leading paediatrician who has researched the immunopathology of respiratory syncytial virus (RSV) bronchiolitis and cystic fibrosis. She also established and directed the Medicines for Children Research Network (MCRN), which transformed paediatric research in England. </span></li>
</ul>
<ul>
<li><strong><span>Professor Wisia Wedzicha<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span><br /> </span></strong><span>Professor Wedzicha’s research has combined clinical and laboratory studies in innovative areas in COPD. Her work showed the importance of early interventions for exacerbations and this formed the basis of self-management strategies for COPD. She is the first European to become editor of the American Journal of Respiratory and Critical Care Medicine. <br /> <br /> </span></li>
<li><strong><span>Professor Moira Whyte<br /></span></strong>Professor Whtye’s research investigates the urgent need for novel anti-inflammatory treatments to reduce the burden of chronic lung diseases including COPD, interstitial disease and bronchiectasis. As Joint Director of the MRC Centre for Developmental and Biomedical Genetics, Professor Whyte initiated a research programme using zebrafish to model neutrophil recruitment and subsequent apoptosis in real-time in genetically modified fish.</li>
</ul>
</div>";50;04.03.2015 10:08
